Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Simulator	Student	Instructor	Captain	First Officer	Flight Number	Remarks	Flying	Non-flying
6/15/2008	N857CP	C172R	KSGR--KSGR	0.8	0.8										1										
6/29/2008	N900CA	C172R	KIWS-KELA-KIWS	1.5	1.5										3										
7/13/2008	N857CP	C172R	KSGR-ARM-KSGR	1.2	1.2										4										
7/20/2008	N857CP	C172R	KSGR--KSGR	0.8	0.8										1										
8/17/2008	N928MA	C172R	KSGR--KSGR	1	1										8										
9/10/2008	N857CP	C172R	KSGR--KSGR	1.2	1.2										3										
9/21/2008	N928MA	C172R	KSGR-KLBX-KSGR	1.2	1.2										2										
9/26/2008	N928MA	C172R	KSGR-11R-KSGR	1.7	1.7									1.7	2										
10/18/2008	N928MA	C172R	KSGR--KSGR	1.1	1.1										1										
10/28/2008	N17SJ	C172S	KSGR-11R-KSGR	2	2									2	2										
12/6/2008	N928MA	C172R	KSGR--KSGR	1.1	1.1										1								Comments: BFR Pt 1		
12/7/2008	N857CP	C172R	KSGR--KSGR	0.9	0.9										1								Comments: BFR Pt 2 Flew into Class BEndorsements: BFR Complete		
12/31/2008	N857CP	C172R	KSGR--KSGR	1.1	1.1										1										
1/10/2009	N17SJ	C172S	KSGR-T54-KSGR	1	1										6										
1/31/2009	N857CP	C172R	KSGR-KBAZ-KSGR	2.8	2.8									2.8	2										
2/15/2009	N857CP	C172R	KSGR--KSGR	1.1	1.1										1										
3/1/2009	N928MA	C172R	KSGR--KSGR	1.2	1.2										1										
3/20/2009	N857CP	C172R	KSGR--KHYI	1.3	1.3									1.3	1										
3/20/2009	N857CP	C172R	KHYI--KHYI	1	1										1										
3/21/2009	N857CP	C172R	KHYI--KSGR	1.4	1.4									1.4	1										
4/4/2009	N5026N	8KCAB	KAXH--KAXH	1				1							2										
4/10/2009	N72EB	7GCBC	KAXH--KAXH	1.3				1.3							7										
4/19/2009	N72EB	7GCBC	KAXH--KAXH	0.9				0.9							8										
5/9/2009	N72EB	7GCBC	KAXH-KSGR-KAXH	1.4				1.4							9										
5/16/2009	N72EB	7GCBC	KAXH--KAXH	1.1				1.1							10										
5/22/2009	N928MA	C172R	KSGR--KSGR	1.3	1.3										12										
5/23/2009	N72EB	7GCBC	KAXH--KAXH	0.9				0.9							4										
5/25/2009	N928MA	C172R	KSGR--KSGR	0.9	0.9										1										
5/30/2009	N72EB	7GCBC	KAXH--KAXH	1.1				1.1							8										
6/6/2009	N72EB	7GCBC	KAXH--KAXH	1.1				1.1							8										
