Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Simulator	Student	Instructor	Captain	First Officer	Flight Number	Remarks	Flying	Non-flying
2003-10-09	138AA	C152	lzu local	1.5				1.5					1.5			8									
2003-10-15	172wa	c172	lzu wdr lzu	1.0				1.0							6										
2003-10-16	52741	c172	lzu mlj lzu	2.0				2.0					2.0	2.0		2									
2003-10-22	52741	c172	lzu mlj iiy lzu	3.1	3.1									3.1	4										
2003-10-23	52741	c172	lzu gvl toc 19a lzu	1.9	1.9									1.9	4										
2003-10-29	52741	c172	lzu wdr lzu	1.6	1.6										5										
2003-11-04	172wa	c172	lzu local	1.1				1.1							7										
2003-11-10	172WA	c172	lzu wdr lzu	1.2	1.2										3										
2003-11-11	172WA	c172	lzu local	1.5				1.5			1.5				1										
2003-11-29	172WA	c172	lzu local	1.0				1.0							5										
2003-12-06	172WA	c172	lzu local	0.8	0.8										6										
2003-12-07	172WA	c172	lzu gvl lzu	2.0	2.0										3										
2003-12-11	172WA	c172	lzu local	1.0				1.0							1										
2003-12-13	172WA	c172	lzu local	1.0				1.0							1										
2004-01-05	52741	c172	lzu local	1.2	1.2										1										
2004-01-06	52741	c172	lzu local	1.6	1.6										4										
2004-01-14	52741	c172	lzu ga80 lzu	1.7				1.7			0.3				3										
2004-01-19	172WA	c172	lzu 19a lzu	1.2	1.2										3										
2004-01-20	172WA	c172	lzu local	2.0	2.0										3										
2004-01-30	52741	c172	lzu local	1.8	1.8						0.1				4										
2004-02-28	745D	BE35	lzu 19a lzu	1.8	1.8			1.8			0.7				2										
2004-03-03	745D	BE35	lzu local	2.2	1.8			1.8							2										
2004-03-04	745D	BE35	lzu 19a cha lzu	2.8	2.8			2.8			2.0		1.3	2.8	1	2									
2004-03-06	745D	BE35	lzu mcn pdk fty 19a lzu	4.2	4.2			4.2			3.7		3.5	4.2	1	3									
2004-03-16	745D	BE35	lzu 19a pdk lzu 	3.0	3.0			3.0			2.0		3.0			3									
2004-03-18	745D	BE35	lzu pdk ryy fty lzu	3.3	3.3			3.3			2.3		2.8			3									
2004-03-20	745D	BE35	lzu pdk 19a	1.2	1.2			1.2		0.6	0.3				2										
2004-03-20	745D	BE35	19a cha lzu	2.5	2.5			2.5		0.5	1.2			2.5	2										
2004-03-24	745D	BE35	lzu ahn gvl 19a lzu	2.7	2.7			2.7			1.7		2.2			2									
2004-03-27	745D	BE35	lzu ahn gvl lzu	2.5	2.5			2.5			2.0		2.0			2									
2004-03-29	745D	BE35	lzu ahn gvl lzu	2.0	2.0			2.0			1.5		1.7			1									
2004-04-08	745D	BE35	lzu 19a ahn wdr lzu	3.0	3.0			3.0			2.0		0.5		1	1									
2004-04-09	745D	BE35	lzu gvl ahn 19a lzu	3.2	3.2			3.2			2.0		0.7		2	1									
2004-04-10	745D	BE35	lzu gvl ahn 19a lzu	2.7	2.7			2.7			2.0				1										
2004-04-15	745D	BE35	lzu wdr 97a lzu	3.7	3.7			3.7					1.0	3.7	7										
2004-04-16	745D	BE35	lzu wdr lzu	0.9	0.9										2										
2004-04-24	745D	BE35	lzu cha lzu	3.5	3.5			3.5		0.4	2.5		0.5	3.5	1	1									
2004-04-27	745D	BE35	lzu 19a gvl ahn lzu	3.7	3.7			3.7			2.7		0.7	3.7	1	1									
2004-04-28	745D	BE35	lzu auo lzu	4.1	4.1			4.1			2.5		1.0	4.1	1	1									
2004-04-29	745D	BE35	lzu ahn pdk lzu	3.2	3.2			3.2			2.5		1.0	3.2	1	1									
2004-05-01	745D	BE35	lzu ahn gvl lzu	2.9	2.9			2.9			2.2		1.5		1	1									
2004-05-10	745D	BE35	lzu auo lzu	4.2	4.2			4.2			3.2		2.3	4.2	1	1									
2004-06-02	745D	BE35	lzu 19a cha lzu	3.1	3.1			3.1		0.1	0.8		1.3	3.1	1	2									
2004-06-03	745D	BE35	lzu 19a ahn gvl lzu	3.9	3.9			3.9		0.7	2.0		2.0	3.9		2									
2004-06-12	745D	BE35	lzu 19a dnn cha lzu	3.4	3.4			3.4		0.5	2.0			3.4	3										
2004-06-15	745D	BE35	lzu 19a lzu	1.0	1.0			1.0			0.5				2										
2004-06-17	745D	BE35	KLZU KDNN KCHA KLZU	4.2	4.2			4.2		0.7	3.5			4.2	3										
2004-06-19	745D	BE35	lzu dnn lzu	2.5	2.5			2.5			1.7			2.5	2										
2004-08-24	745D	BE35	lzu pxe	1.2	1.2									1.2	1										
2004-09-04	317L	c310	lzu wdr lzu	1.2				1.2							2										
2004-09-10	745D	BE35	pxe lzu	2.0	2.0			2.0		1.2			2.0	2.0		1									
2004-09-11	745D	BE35	lzu wdr	1.0	1.0										1										
2004-09-13	745D	BE35	wdr lzu	1.0	1.0										1										
2004-09-21	745D	BE35	lzu local	2.5	2.5			2.5							1										
2004-09-25	745D	BE35	lzu ahn gvl lzu	2.5	2.5			2.5							2										
2004-10-01	745D	BE35	klzu kryy	1.0	1.0			1.0							1										
2004-10-01	711JW	PA31	KRYY KLZU	1.0				1.0							1										
2004-10-03	711JW	PA31	KLZU KLZU	0.7				0.7					0.7			1									
2004-10-05	745D	BE35	KRYY KLZU	1.0	1.0										1										
2004-10-08	745D	BE35	KLZU KWDR	0.5	0.5										1										
2004-10-09	745D	BE35	KWDR KLZU	0.5	0.5										1										
2004-10-14	745D	BE35	KLZU KAHN KGVL KLZU	2.5	2.5			2.5					2.0			1									
2004-10-15	745D	BE35	KLZU KAHN KWDR 19A KLZU	2.7	2.7			2.7					1.0			1									
2004-10-16	745D	BE35	KLZU KDNN KCHA KLZU	3.2	3.2			3.2						3.2	2										
2004-10-17	745D	BE35	KLZU 19A	0.8	0.8			0.8						0.8	1										
2004-10-17	745D	BE35	19A KDNN	1.3	1.3			1.3		0.3	0.7			1.3	1										
2004-10-17	745D	BE35	KDNN KCHA	1.0	1.0			1.0		0.6	0.5			1.0	1										
2004-10-17	745D	BE35	KCHA KDNN KLZU	1.4	1.4			1.4		0.6	0.5			1.4	1										
2004-11-01	745D	BE35	KLZU KAHN KLZU	2.0	2.0			2.0			1.4	2			2										
2004-11-02	745D	BE35	KCHA KCHA	0.8	0.8	0.8					0.6	1			1								Instrument Checkride with Ben Carr		
2004-11-02	745D	BE35	KCHA KAUO	1.3	1.3	1.3								1.3	1										
2004-11-04	745D	BE35	KAUO KLZU	1.2	1.2	1.3								1.2	1										
2004-12-18	745D	BE35	KLZU 35A	1.3	1.3	1.3						1	0.7	1.3	1								instrument xc		
2004-12-18	745D	BE35	35A KLZU	1.4	1.4	1.4							1.4	1.4		1							vfr xc		
2005-01-12	745D	BE35	KLZU KOLV	2.7	2.7	2.7						1	0.2	2.7	1								Flight to pick up Finney		
2005-01-12	745D	BE35	KOLV KLZU	1.6	1.6	1.6							1.6	1.6		1							Atl tour with Finney		
2005-01-22	745D	BE35	KLZU KLZU	1.2	1.2			1.2															intro to commercial with Lee		
2005-02-17	745D	BE35	klzu klzu	1.4	1.4			1.4							2								commercial		
2005-03-10	745D	BE35	KLZU 19A KLZU	1.9	1.9			1.9							2								commercial		
2005-03-13	745D	BE35	klzu klzu	2.1	2.1			2.1							1								commercial		
2005-03-15	745D	BE35	klzu klzu	1.6	1.6					0.6	0.9	2			1								commercial		
2005-03-17	745D	BE35	klzu klzu	0.7	0.7	0.7									1								local vfr flight		
2005-03-21	745D	BE35	klzu klzu	1.8	1.8			1.8		0.7	0.8	4			1								commercial		
2005-03-25	745D	BE35	klzu klzu	1.6	1.6			1.6							2								commercial		
2005-04-03	745D	BE35	klzu ktoc 19A klzu	2.1	2.1	2.1								2.1	4								vfr xc commercial		
2005-04-08	745D	BE35	klzu klzu	0.7	0.7			0.7							3								commercial		
2005-04-19	745D	BE35	klzu kgvl 19A klzu 	3.5	3.5			3.5				1	1.3		6								commercial		
2005-04-21	745D	BE35	klzu klzu	1.2	1.2	1.2							0.5		4	1							commercial		
2005-04-28	745D	BE35	klzu kgvl klzu	1.4	1.4	1.4							0.6		2	1							Commercial		
2005-05-06	745D	BE35	klzu 19A kolv klzu	4.7	4.7	4.7				0.6		1		4.7	3								flight to memphis		
2005-05-15	745D	BE35	klzu kgvl klzu	1.3	1.3	1.3						1			2								commercial		
2005-05-16	745D	BE35	klzu klzu	1.2	1.2	1.2									2								commercial		
2005-05-17	745D	BE35	klzu klzu	1.7	1.7	1.7									5								commercial		
2005-05-22	745D	BE35	klzu 19a klzu	1.5	1.5	1.5									2								commercial		
2005-05-30	745D	BE35	klzu klzu	2.3	2.3	2.3									5								commercial		
2005-06-07	745D	BE35	klzu klzu	1.7	1.7	1.7									4								commercial		
2005-06-15	745D	BE35	klzu klzu	1.5	1.5	1.5									7								commercial		
2005-06-16	745D	BE35	klzu klzu	1.2	1.2	1.2									3								commercial		
2005-06-18	745D	BE35	klzu klzu	1.3	1.3	1.3									6								commercial		
2005-07-15	745D	BE35	klzu klzu	1.9	1.9	1.9						1			4								Commercial		
2005-07-16	745D	BE35	klzu klzu	3.1	3.1	3.1									6								commercial		
2005-07-17	745D	BE35	klzu klzu	2.2	2.2	2.2									4								commercial		
2005-07-19	745D	BE35	klzu klzu	1.5	1.5	1.5									6								commercial		
2005-07-22	745D	BE35	klzu klzu	2.0	2.0	2.0									5								commercial		
2005-07-23	745D	BE35	klzu klzu	1.4	1.4	1.4									7								commercial		
2005-07-24	745D	BE35	klzu klzu	1.7	1.7	1.7									4								Commercial		
2005-07-25	745D	BE35	klzu klzu	1.9	1.9	1.9									6								commercial		
2005-07-29	745D	BE35	klzu kwdr klzu	1.7	1.7			1.7							8								Commercial		
2005-08-01	745D	BE35	klzu kwdr klzu	2.0	2.0			2.0							6								Commercial		
2005-08-04	745D	BE35	klzu local	1.9	1.9	1.9									5								Commercial		
2005-08-08	745D	BE35	klzu kwdr klzu	2.4	2.4	2.4									9								Commercial		
2005-08-09	745D	BE35	klzu local	1.8	1.8	1.8									6								Commercial		
2005-08-15	745D	BE35	klzu kwdr klzu	3.8	3.8			3.8							8								Commercial		
2005-08-16	745D	BE35	klzu kdts klzu	5.2	5.2	5.2							5.2	5.2	2								Commercial XC		
2005-08-18	745D	BE35	klzu kwdr klzu	2.5	2.5			2.5							6								Commercial		
2005-08-20	745D	BE35	kcha local	1.7	1.7																		Commercial Checkride with Ben Carr	P	
2005-08-24	745D	BE35	kcha klzu	1.2	1.2	1.2								1.2	1								VFR XC		
2005-08-27	745D	BE35	klzu local	1.5	1.5	1.5									1								ATL Tour		
2005-08-29	745D	BE35	klzu kwdr klzu	2.0	2.0			2.0							8								CFI		
2005-09-04	745D	BE35	klzu kwdr klzu	2.1	2.1			2.1							6								CFI		
2005-09-07	745D	BE35	klzu kwdr klzu	2.0	2.0			2.0							8								CFI		
2005-12-06	745D	BE35	klzu local	2.1	2.1	2.1									2								CFI		
2005-12-08	745D	BE35	klzu 19a kwdr klzu	2.5	2.5	2.5									5								CFI		
2005-12-10	745D	BE35	klzu d73 klzu	2.2	2.2	2.2									3								CFI		
2005-12-13	745D	BE35	klzu kgvl klzu	3.1	3.1	3.1									6								CFI		
2005-12-17	745D	BE35	klzu local	2.2	2.2	2.2						1			2								CFI		
2005-12-20	745D	BE35	klzu kauo klzu	1.4	1.4	1.4						1		1.4	2								XC		
2005-12-29	745D	BE35	klzu d73 klzu	2.3	2.3	2.3									4								CFI		
2006-01-05	745D	BE35	klzu kwdr klzu	2.2	2.2	2.2									6								CFI		
2006-01-10	745D	BE35	klzu local	1.9	1.9	1.9									3								CFI		
2006-01-12	745D	BE35	klzu local	2.5	2.5	2.5									4								CFI		
2006-01-17	745D	BE35	klzu kwdr klzu	2.2	2.2	2.2									7								CFI		
2006-01-21	745D	BE35	klzu local	1.5	1.5	1.5									2								CFI		
2006-01-24	745D	BE35	klzu kwdr klzu 	1.7	1.7	1.7						1	0.4		1								CFI		
2006-01-26	745D	BE35	klzu d73 klzu	2.1	2.1			2.1					0.3			1							CFI		
2006-01-28	745D	BE35	klzu local	2.2	2.2	2.2							0.4		4	2							CFI		
2006-01-31	745D	BE35	klzu kahn kmcn klzu	3.1	3.1	3.1							0.7	3.1	2	1							macon xc		
2006-02-02	745D	BE35	klzu d73 klzu	1.2	1.2	1.2							0.2		1	1							CFI		
2006-02-04	745D	BE35	klzu local	1.6	1.6	1.6							0.4			1							CFI		
2006-02-08	745D	BE35	klzu kwdr klzu	1.3	1.3	1.3							0.1		5	1							CFI		
2006-02-11	745D	BE35	klzu 9A1 klzu	2.3	2.3	2.3									9								CFI		
2006-02-14	745D	BE35	klzu kwdr klzu	1.2	1.2			1.2							4								CFI		
2006-02-16	745D	BE35	klzu local	1.1	1.1	1.1									2								CFI		
2006-03-04	745D	BE35	klzu local	1.1	1.1	1.1									1								CFI		
2006-03-08	745D	BE35	klzu d73 klzu	1.7	1.7	1.7									8								CFI		
2006-03-11	745D	BE35	klzu local	1.2	1.2	1.2									3								CFI		
2006-03-21	745D	BE35	klzu 9A1 klzu	0.9	0.9	0.9									5								CFI		
2006-03-22	745D	BE35	klzu local	1.6	1.6	1.6									7								CFI		
2006-03-24	10946	C150	kpdk local	2.1	2.1			2.1							1								CFI Stall and Spin Training		
2006-03-28	745D	BE35	klzu kwdr klzu	2.5	2.5			2.5							6								CFI		
2006-03-30	745D	BE35	klzu local	2.0	2.0			2.0							4								CFI		
2006-04-02	745D	BE35	klzu kwdr klzu	2.3	2.3			2.3							8								CFI		
2006-04-06	745D	BE35	klzu kwdr klzu	2.5	2.5			2.5							8								CFI		
2006-04-14	745D	BE35	klzu local	1.3	1.3			1.3							5								CFI		
2006-04-22	745D	BE35	klzu kwdr klzu	1.7	1.7			1.7							7								CFI		
2006-04-29	745D	BE35	klzu local	1.7	1.7			1.7							3								CFI		
2006-05-05	745D	BE35	klzu kwdr klzu	1.5	1.5			1.5							6								CFI		
2006-05-19	745D	BE35	klzu kwdr klzu	1.5	1.5			1.5							6								CFI		
2006-05-20	745D	BE35	klzu kwdr klzu	1.5	1.5			1.5															CFI		
2006-05-27	745D	BE35	klzu 9A1 klzu	1.7	1.7			1.7															CFI		
2006-06-05	745D	BE35	klzu 9A1 klzu	1.5	1.5			1.5															CFI		
2006-06-06	745D	BE35	klzu kwdr klzu	2.0	2.0			2.0															CFI		
2006-06-07	745D	BE35	klzu 9A1 klzu	1.5	1.5			1.5															CFI		
2006-06-15	745D	BE35	klzu kgvl klzu	1.5	1.5	1.5								1.5									CFI		
2006-06-20	745D	BE35	klzu 9A1 klzu	1.2	1.2	1.2								1.2									CFI		
2006-07-01	745D	BE35	klzu local	1.3	1.3	1.3																	CFI		
2006-07-08	745D	BE35	klzu kwdr klzu	0.9	0.9	0.9																	Gas Flight		
2006-07-10	745D	BE35	klzu kfty kctj klzu	1.7	1.7																		CFI Checkride Passed	C	
2006-07-25	745D	BE35	klzu kauo 	1.2	1.2	1.2								1.2									xc		
2006-07-25	745D	BE35	kauo klzu	1.2	1.2	1.2								1.2									xc		
2006-08-03	745D	BE35	klzu local	0.9	0.9	0.9																	ATL Tour		
2006-08-15	5998J	C172	klzu kwdr klzu	3.1	3.1										8								AC Checkout		
2006-08-16	745D	BE35	klzu kahn klzu	2.4	2.4						2.4	3	1.1		2								Double I		
2006-08-18	5998J	C172	klzu kwdr klzu	1.9	1.9	1.9									9										
2006-08-18	745D	BE35	klzu kahn kwdr klzu	2.3	2.3						2.2	4	1.5		1								Double I		
2006-08-29	745D	BE35	klzu kwdr klzu	1.9	1.9						1.7		1.7		1								Double I		
2006-09-04	574MA	DA20	klzu kwdr klzu	1.1	1.1										2								AC Checkout		
2006-09-09	52741	c172	klzu kwdr klzu	2.9	2.9				2.9						2										
2006-09-09	574MA	DA20	klzu local	1.2	1.2				1.2						1										
2006-09-10	52741	c172	klzu 9A1 klzu	1.6	1.6				1.6						2										
2006-09-10	52741	c172	klzu kwdr klzu	2.1	2.1				2.1						4										
2006-09-16	7090Y	PA28	klzu kwdr klzu	1.8	1.8				1.8						4										
2006-09-16	141MA	DA20	klzu local	0.8	0.8				0.8						1				disco						
2006-09-16	172WA	c172	klzu kwdr klzu	2.2	2.2				2.2						5										
2006-09-20	172WA	c172	klzu local	0.8	0.8				0.8						1								disco		
2006-09-24	52741	c172	klzu local	1.2	1.2				1.2						6										
2006-09-30	52741	c172	klzu kwdr klzu	2.1	2.1				2.1						5										
2006-09-30	52741	c172	klzu local	0.7	0.7				0.7						1								disco		
2006-10-01	823AG	PA32R	klzu kwdr klzu	1.2	1.2				1.2						3								ac checkout mcgrit		
2006-10-07	52741	c172	klzu kwdr klzu	2.2	2.2				2.2					0.5	8								rohan		
2006-10-15	52741	c172	klzu kwdr klzu	1.9	1.9				1.9					0.5	6								rohan		
2006-10-21	574MA	DA20	klzu local	0.7	0.7				0.7						1								disco		
2006-10-26	574MA	DA20	klzu kryy klzu	1.2	1.2	1.2								1.2	3								transport xponder		
2006-11-01	172WA	c172	klzu kryy krmg klzu	2.1	2.1									2.1	3								mike rogers xponder replaced		
2006-11-02	5320D	PA28-181	klzu local	1.1	1.1				1.1					0.5	6								david		
2006-11-02	745D	BE35	klzu kahn kwdr kgvl	2.1	2.1			2.1				5		1.0	1										
2006-11-03	745D	BE35	klzu kahn kwdr klzu	1.6	1.6			1.6				3		1.0	1										
2006-11-04	7090Y	PA28	klzu kwdr klzu 	1.4	1.4				1.4					0.3	5								mike nelson		
2006-11-04	7090Y	PA28	klzu ktoc klzu	1.7	1.7				1.7					1.7	1								stephine mills		
2006-11-04	574MA	DA20	klzu local	0.8	0.8				0.8						1								disco		
2006-11-05	172WA	c172	klzu krmg kcha 	1.5	1.5				1.5				0.7	1.5	2								mike rogers checkride		
2006-11-05	172WA	c172	kcha krmg klzu	1.5	1.5				1.5					1.5	2								mike rogers checkride passed		
2006-11-09	574MA	DA20	klzu kwdr klzu	1.7	1.7				1.7					0.3	5								leith		
2006-11-09	745D	BE35	klzu kahn kwdr kpdk klzu	2.2	2.2			2.2		2.2		4	2.2	2.2		1							double I		
2006-11-13	745D	BE35	klzu kcha kdnn klzu	2.6	2.6			2.6			2.6	4	2.6	2.6		1							double I mock checkride		
2006-11-17	745D	BE35	kcha local	1.6	1.6						1.4	2			1								Double I checkride Ben Carr	C	
2006-11-17	745D	BE35	klzu kcha klzu	1.7	1.7	1.7								1.7	3								flight to checkride		
2006-11-18	574MA	DA20	klzu kwdr klzu	1.6	1.6				1.6					0.4	4								ac checkout sachrowski		
2006-11-18	823AG	PA32R	klzu kwdr kgvl klzu	1.4	1.4				1.4			2		0.5	3								pecht ac checkout		
2006-11-18	7090Y	PA28	klzu kwdr klzu	1.7	1.7				1.7				0.5	0.4	4								checkout siddons		
2006-11-22	141MA	DA20	klzu kwdr klzu	3.6	3.6				3.6					0.4	6								leith		
2006-11-22	574MA	DA20	klzu kwdr klzu	1.0	1.0				1.0					0.4	4								stu		
2006-11-22	7090Y	PA28	klzu kwdr klzu	1.3	1.3				1.3					0.4	4								ac checkout noles		
2006-11-24	141MA	DA20	klzu kwdr klzu	1.8	1.8				1.8					0.4	6								leith		
2006-11-25	574MA	DA20	klzu D73 klzu 	1.5	1.5				1.5					0.5	2								ac checkout caldwell		
2006-11-25	574MA	DA20	klzu local	1.5	1.5				1.5						3								disco		
2006-11-25	574MA	DA20	klzu kwdr klzu	1.1	1.1				1.1					0.5	3								disco		
2006-11-26	574MA	DA20	klzu local	0.9	0.9				0.9						4								leith		
2006-11-27	3810M	PA28	klzu kwdr klzu	2.1	2.1				2.1					0.4	3								intro flight welsh		
2006-11-29	3810M	PA28	klzu kwdr klzu	1.7	1.7				1.7						5								welsh		
2006-11-29	52741	c172	klzu kwdr kahn klzu	1.9	1.9				1.9			3			2								raphael		
2006-12-01	574MA	DA20	klzu wdr klzu	1.6	1.6				1.6						4								everett checkout		
2006-12-01	574MA	DA20	klzu local	1.6	1.6				1.6						5								leith		
2006-12-02	7090Y	PA28	klzu D73 Klzu	1.6	1.6				1.6					0.5	4								mora checkout		
2006-12-02	52741	c172	klzu local	1.1	1.1				1.1						5								rohan		
2006-12-02	574MA	DA20	klzu kwdr klzu	0.9	0.9				0.9					0.5	3								everett checkout		
2006-12-03	141MA	DA20	klzu local	0.9	0.9				0.9						4								caldwell checkout		
2006-12-06	52741	c172	klzu D73 klzu	1.4	1.4				1.4					0.7	4								smith		
2006-12-08	52741	c172	klzu local	0.5	0.5				0.5						1								disco		
2006-12-08	823AG	PA32R	klzu kwdr kahn klzu	1.9	1.9				1.9					1.0	2								ac checkout gear problems		
2006-12-08	574MA	DA20	klzu local	1.4	1.4				1.4						6								leith		
2006-12-09	52741	c172	klzu kahn kwdr klzu	2.1	2.1				2.1			4		1.0	1								lopez		
2006-12-10	3810M	PA28	klzu kwdr klzu	1.9	1.9				1.9					0.5	4								welsh		
2006-12-10	7090Y	PA28	klzu kahn klzu	2.1	2.1				2.1				2.1	1.0	4								carlos mora		
2006-12-11	141MA	DA20	klzu kwdr klzu	1.5	1.5				1.5					0.5	3								leith first solo		
2006-12-11	52741	c172	klzu D73 klzu	1.7	1.7				1.7					0.5	4								smith		
2006-12-14	141MA	DA20	klzu local	1.6	1.6				1.6						4								alecxin		
2006-12-15	52741	c172	klzu local	1.6	1.6				1.6			2			2								durez		
2006-12-15	52741	c172	klzu kgvl klzu	1.1	1.1				1.1			4			1								lopez		
2006-12-15	5763N	M20J	klzu kahn klzu	2.0	2.0				2.0					1.0	2								checkout		
2006-12-16	52741	c172	klzu kwdr klzu	1.1	1.1				1.1					0.5	4								kennett		
2006-12-16	52741	c172	klzu kgvl kahn klzu	2.1	2.1				2.1			4		1.3	1								lopez		
2006-12-16	52741	c172	klzu local	0.5	0.5				0.5						1								disco		
2006-12-16	7090Y	PA28	klzu kgvl kahn klzu	3.0	3.0				3.0					1.3	6								henderson wings program		
2006-12-17	52741	c172	klzu kwdr klzu	1.8	1.8				1.8					0.5	4								rohan 2nd solo		
2006-12-18	52741	c172	klzu local 	1.6	1.6				1.6						3								intro flight		
2006-12-18	52741	c172	klzu kwdr klzu	1.6	1.6				1.6					0.5	4								smith		
2006-12-21	52741	c172	klzu kahn klzu	1.9	1.9				1.9					1.0	4								alex D		
2006-12-22	52741	c172	klzu kwdr klzu	1.4	1.4				1.4					0.5	2								durez		
2006-12-23	52741	c172	KLZU KAHN KWDR KLZU	1.8	1.8				1.8					1.0	1								lopez		
2006-12-23	52741	c172	klzu kgvl klzu	1.6	1.6				1.6					0.7	4								kennett		
2006-12-24	52741	c172	KLZU KWDR KLZU	1.6	1.6				1.6					1.0	4										
2006-12-24	745D	BE35	KLZU KAUO	2.1	2.1	2.1								2.1	1								Mamma G's and nachos		
2006-12-24	745D	BE35	kauo klzu	1.9	1.9	1.9								1.9	1								return		
2006-12-27	5763N	M20J	klzu kahn kwdr klzu	2.3	2.3				2.3					2.3	5								conroy ac checkout		
2006-12-28	3147W	BE35	klzu kahn klzu	2.2	2.2				2.2			2		1.0	1								Terry Harper ac intro flight		
2006-12-29	52741	c172	klzu kwdr klzu	1.7	1.7				1.7					1.0	6										
2006-12-29	52741	c172	klzu kahn klzu	1.4	1.4				1.4			3		0.5	1								lopez		
2006-12-31	52741	c172	klzu kwdr klzu	1.5	1.5				1.5					1.0	4								kennett		
2007-01-03	52741	c172	klzu D73 klzu	1.7	1.7				1.7					0.5	4								smith		
2007-01-04	141MA	DA20	klzu kwdr klzu	1.8	1.8				1.8					0.5	3								leith		
2007-01-05	141MA	DA20	klzu local	1.1	1.1				1.1						1								ravi		
2007-01-06	574MA	DA20	klzu local	1.1	1.1				1.1						2										
2007-01-06	3147W	BE35	klzu 19A klzu	2.3	2.3				2.3			3			1										
2007-01-07	141MA	DA20	klzu kwdr klzu	1.6	1.6				1.6						3										
2007-01-10	52741	c172	klzu kwdr klzu	1.9	1.9				1.9						4								leith		
2007-01-11	3810M	PA28	klzu kwdr klzu	1.9	1.9				1.9						4								welsh		
2007-01-11	7090Y	PA28	klzu kwdr klzu	1.7	1.7				1.7						5								simmons		
2007-01-12	574MA	DA20	klzu kwdr klzu 	1.9	1.9				1.9						6								leith		
2007-01-12	3810M	PA28	klzu kwdr klzu	1.9	1.9				1.9						4								welsh		
2007-01-12	52741	c172	klzu kahn kwdr klzu	1.7	1.7				1.7			3			1								lopez		
2007-01-13	52741	c172	klzu kwdr klzu	1.7	1.7				1.7						3								rohan		
